danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,4
0.522,0.707,5,-7.113,0,0.0354,0.24,2.04e-05,0.156,0.572,76.05,4
0.668,0.673,2,-10.166,1,0.0381,0.00787,2.73e-05,0.364,0.724,130.47,4
0.617,0.846,2,-7.24,1,0.0282,0.083,0.0605,0.0713,0.406,114.047,4
0.391,0.808,8,-6.209,0,0.0892,0.0759,0.0,0.149,0.737,100.304,4
0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,4
0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.609,96.31,4
0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4
0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,4
0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,4
0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,4
0.875,0.407,4,-10.505,1,0.0376,0.0769,0.000785,0.116,0.777,109.088,4
0.525,0.719,3,-6.222,0,0.0818,0.0439,0.00189,0.0799,0.29,124.918,4
0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,4
0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,4
0.392,0.34,2,-13.008,1,0.0486,0.859,0.0242,0.134,0.306,75.375,4
0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,4
0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,4
0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,4
0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,4
0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,4
0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,4
0.558,0.719,2,-5.113,1,0.0267,0.0367,0.0,0.115,0.371,112.027,4
0.542,0.813,2,-6.89,1,0.0429,0.0765,0.252,0.116,0.305,129.09,4
0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,4
0.519,0.851,3,-4.025,1,0.0339,0.0345,9.25e-06,0.163,0.754,140.014,4
0.556,0.742,10,-6.666,0,0.0351,0.0149,9.74e-06,0.0665,0.717,94.996,4
0.623,0.127,6,-14.935,1,0.0306,0.452,0.0,0.114,0.237,91.625,4
0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,4
0.525,0.216,6,-13.551,1,0.0301,0.837,0.0,0.107,0.328,106.761,4
0.331,0.771,9,-4.513,0,0.0432,0.000418,0.0529,0.324,0.553,130.262,4
0.526,0.763,0,-12.663,0,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,4
0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,4
0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894,4
0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
0.599,0.761,0,-6.887,1,0.0421,0.713,4.74e-06,0.349,0.712,77.015,4
0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,4
0.555,0.557,3,-6.761,1,0.0269,0.393,0.000507,0.129,0.383,84.992,4
0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,4
0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,4
0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,4
0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,4
0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,4
0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,4
0.702,0.668,9,-9.237,1,0.214,0.518,0.0,0.0588,0.561,116.063,4
0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,4
0.718,0.691,4,-6.44,1,0.0387,0.0159,0.0,0.0627,0.552,100.008,4
0.649,0.505,2,-14.455,0,0.0297,0.198,0.00277,0.189,0.706,89.969,4
0.479,0.309,11,-14.751,0,0.0299,0.153,0.22,0.134,0.182,127.155,4
0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505,4
0.547,0.707,0,-8.74,1,0.0338,8.14e-05,0.000149,0.285,0.654,119.576,4
0.618,0.748,0,-8.905,1,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,4
0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,4
0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,4
0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,4
